AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
16,2,0.53,0.18,-0.3,16,16,106,105.4,77,2.6
16,2,0.56,0.19,0,23,23,106,97.6,77,3.8
16,2,0.56,0.2,0.1,23,23,107,97.6,79,3.6
16,2.1,0.61,0.22,1.72,19.2,20.9,108,98.9,80,3.7
16,2.1,0.67,0.19,-0.4,19,18,105,110.6,80,3.6
15,2.1,0.71,0.21,-0.2,20,20,103,113.2,81,3.4
15,2.2,0.74,0.25,2.7,30,33,107,110.6,82,3.3
15,2.2,0.8,0.3,7.3,27,35,113,113.2,82,3.9
17,2.1,0.82,0.29,12,26,39,132,123.6,77,5.3
19,2.1,0.83,0.3,8.3,26,35,138,137.9,71,5
21,2,0.76,0.27,4.3,26,30,152,134,65,4.3
23,2,0.67,0.23,2.5,24,26,147,141.8,63,4.5
24,1.9,0.53,0.15,0,11,11,137,124.9,60,4
25,1.9,0.49,0.11,-0.2,11,11,119,108,61,5.1
25,1.8,0.41,0.14,-0.2,10,10,97,79.4,63,4.5
24,1.8,0.36,0.08,1.2,11.03,12.15,89,65.1,67,3.1
23,1.8,0.36,0.1,1.14,11.35,12.61,92,62.5,73,2.9
21,1.8,0.43,0.11,0.98,12.33,13.34,103,59.9,79,2.9
20,1.8,0.41,0.09,0.9,12.86,13.87,102,56,82,2.6
19,1.8,0.36,0.07,1.08,13.41,14.5,93,50.8,85,2.3
19,1.8,0.36,0.08,0.88,12.71,13.43,91,48.2,86,2.2
19,1.8,0.39,0.07,0.96,11.85,13,89,59.9,88,2.5
19,1.9,0.45,0.07,0.92,11.86,12.89,90,65.1,89,3.1
19,1.8,0.46,0.07,1.08,10.69,11.77,88,65.1,89,2.7
19,1.8,0.44,0.07,0.89,11.62,12.42,99,65.1,89,2.2
19,1.8,0.43,0.08,0.87,10.79,11.76,103,70.3,89,1.7
19,1.9,0.42,0.09,1.03,11.37,12.4,103,70.3,90,1.3
19,1.9,0.41,0.08,1.16,11.71,12.94,86,75.5,90,1.4
19,1.9,0.43,0.08,1.07,12.14,13.37,98,70.3,90,1.3
19,1.9,0.46,0.11,1.19,11.5,12.52,98,88.5,90,1.2
19,1.9,0.51,0.14,1.34,13.56,14.96,119,100.2,90,1.4
19,1.9,0.56,0.15,-0.3,13,12,117,108,89,1.4
19,1.9,0.57,0.2,1.8,14,16,122,111.9,87,1.5
20,1.9,0.55,0.14,4.3,14,18,117,110.6,83,1.5
22,1.9,0.56,0.15,3.2,14,18,112,110.6,78,1.9
22,1.9,0.52,0.13,2.3,14,17,105,101.5,78,2
22,1.9,0.51,0.14,0.5,14,14,98,89.8,80,3.4
22,1.9,0.53,0.11,1.1,17,18,89,75.5,79,4
22,1.9,0.54,0.15,1.3,19,20,85,83.3,79,2.8
22,1.9,0.61,0.25,0.7,23,24,90,87.2,85,2.8
21,1.9,0.55,0.15,0.2,19,19,88,80.7,91,2.3
20,1.9,0.59,0.18,-0.5,22,22,86,80.7,93,2.2
20,1.9,0.52,0.12,2.87,21.2,23.9,75,61.2,94,2
20,1.9,0.55,0.16,2.25,18.1,20.4,71,70.3,95,2.3
20,1.9,0.44,0.1,2.95,18.61,21.63,71,58.6,94,2.9
20,1.9,0.45,0.11,2.17,15.67,17.64,70,65.1,95,2.9
20,2,0.54,0.13,-0.5,19,18,72,61.2,95,2.4
20,2,0.52,0.12,-0.5,19,18,68,66.4,95,1.8
20,2,0.54,0.12,-0.3,22,22,73,65.1,96,2.4
19,2,0.48,0.12,-0.5,17,17,78,65.1,96,2.1
19,1.9,0.48,0.09,-0.5,17,16,87,56,96,2.2
19,2,0.49,0.11,1.76,14.78,16.54,87,57.3,96,2.3
19,2,0.52,0.14,1.51,15.29,16.61,87,57.3,96,1.8
19,2,0.53,0.14,1.66,15.36,17.24,85,62.5,96,1.6
19,2,0.52,0.13,-0.5,15,15,78,57.3,96,1.9
19,1.9,0.48,0.11,-0.4,15,14,67,52.1,96,1.8
20,1.9,0.41,0.1,0.2,14,15,44,37.8,96,1.6
20,1.9,0.42,0.1,1.6,16,17,35,19.6,96,1.5
20,1.9,0.39,0.1,1.5,16,17,30,11.8,96,1.7
20,1.9,0.36,0.1,1.5,16,17,30,11.8,97,1.4
20,1.8,0.32,0.07,0.9,15,16,22,13.1,97,1.3
20,1.9,0.33,0.07,1.6,13,14,10,13.1,97,1.6
21,1.9,0.38,0.1,1.5,14,15,14,10.5,97,1.5
21,1.9,0.42,0.12,2.6,16,18,15,14.4,97,1.5
21,1.8,0.4,0.12,1.2,18,19,15,13.1,97,1.2
21,1.9,0.46,0.18,4.4,26,30,5,15.7,97,1.4
21,1.9,0.42,0.13,2.3,23,25,10,10.5,97,1.4
21,1.9,0.39,0.12,-0.5,17,16,17,10.5,97,1.4
21,1.9,0.39,0.11,3.02,19.69,22.63,27,10.5,97,1.3
21,1.9,0.43,0.11,-0.4,19,18,23,19.6,97,1.3
21,1.9,0.46,0.12,-0.2,21,21,26,14.4,97,1.3
20,2,0.49,0.14,0.8,23,24,23,18.3,97,1.3
21,2,0.53,0.16,4.7,24,29,34,15.7,97,1.1
21,2.1,0.56,0.17,6.1,24,30,34,23.5,98,1.4
20,2.1,0.53,0.16,7.2,24,31,37,24.8,98,1.1
20,2,0.44,0.12,2.59,18.1,20.6,39,24.8,98,1
20,2,0.43,0.12,-0.5,17,17,46,28.7,98,1
20,2,0.44,0.12,0.8,19,19,45,22.2,98,1.2
20,2,0.45,0.13,3.7,19,22,39,27.4,98,1.4
21,2,0.73,0.24,14,18,32,33,28.7,98,1.6
21,2,0.63,0.22,17,18,35,50,33.9,98,1.6
21,2,0.58,0.25,15,17,33,53,39.1,98,1.5
21,1.9,0.5,0.22,10,15,25,54,45.6,98,1.4
22,1.9,0.5,0.2,8.9,14,22,52,59.9,96,1.4
23,1.9,0.47,0.17,6.7,15,22,64,65.1,88,1.6
26,1.8,0.42,0.15,4.3,15,19,69,65.1,83,1.7
26,1.8,0.39,0.19,3.82,13.4,17.1,65.78,57.729,83,2.37
26,1.8,0.39,0.17,1.2,14,15,68,62.5,83,2.2
26,1.8,0.39,0.17,0.8,16,17,64,59.9,83,2.1
24,1.8,0.59,0.27,2.54,22.33,24.78,80,62.5,90,3
23,1.8,0.56,0.21,2.09,22.44,24.56,80,69,92,3
22,1.9,0.62,0.27,2.19,22.67,24.78,84,72.9,93,2.8
22,2,0.69,0.37,0,28,28,82,72.9,93,2.4
22,2.1,0.64,0.38,-0.4,22,21,89,70.3,95,2.3
22,2.2,0.7,0.32,2.6,26,29,92,72.9,95,2.4
22,2.3,0.65,0.42,6.9,28,34,87,67.7,96,3
